PLAYER_ID,PLAYER_NAME,PTS,REB,AST,STL,BLK,TOV
1631099,"Keegan Murray",14,5.7,1.7,1,1.6,1.2
1642276,"Kel'el Ware",11.1,9,0.7,0.8,1.1,0.8
1629640,"Keldon Johnson",13.2,5.4,1.4,0.6,0.1,0.9
203482,"Kelly Olynyk",3.2,1.8,1.2,0.4,0.1,0.6
1626162,"Kelly Oubre Jr.",14.1,5,1.6,1.4,0.5,1.4
1631113,"Kennedy Chandler",15,3.4,6.7,1,0.2,2.1
1629026,"Kenrich Williams",6.5,3.3,1.4,0.6,0.1,0.8
203484,"Kentavious Caldwell-Pope",8.4,2.5,2.7,0.8,0.2,1.2
1631165,"Keon Ellis",6.7,1.9,1,1.2,0.6,0.6
1642352,"Keshad Johnson",4.3,1.9,0.3,0.5,0.3,0.4
1642933,"Keshon Gilbert",4.3,1.3,3,0.8,1,2
201142,"Kevin Durant",26,5.5,4.8,0.8,0.9,3.2
1628989,"Kevin Huerter",10,3.5,2.6,0.9,0.5,1
201567,"Kevin Love",6.7,5.8,1.8,0.4,0.2,0.8
1641755,"Kevin McCullar Jr.",2.4,1.3,1,0.4,0,0.6
1629645,"Kevin Porter Jr.",17.4,5.2,7.4,2.2,0.5,2.9
1626172,"Kevon Looney",2.8,5.6,1.6,0.4,0.5,0.4
1641718,"Keyonte George",23.6,3.7,6.1,1.1,0.3,3.1
1642863,"Khaman Maluach",3,2.9,0.1,0.1,0.7,0.5
203114,"Khris Middleton",10.2,3.7,2.8,0.7,0.1,1.7
1630165,"Killian Hayes",5.5,2.3,3.5,0.9,0.2,1.2
202691,"Klay Thompson",11.7,2.1,1.4,0.5,0.3,0.9
1641738,"Kobe Brown",5.8,3,1.3,0.4,0.2,0.9
1641723,"Kobe Bufkin",2.9,0.8,0.6,0.1,0.2,0.3
1642920,"Kobe Sanders",7.3,2.3,1.6,0.7,0.1,1.2
1642886,"Koby Brea",3.8,0.7,0.8,0.1,0,0.3
1642851,"Kon Knueppel",18.5,5.3,3.4,0.7,0.2,2
1627739,"Kris Dunn",7.3,3.3,3.6,1.6,0.2,1.4
1631200,"Kris Murray",5.8,3.6,1.4,0.9,0.4,0.8
204001,"Kristaps Porziņģis",16.7,5.2,2.5,0.6,1.2,1.3
203937,"Kyle Anderson",6.2,3.5,2.9,1,0.6,0.9
1642271,"Kyle Filipowski",11.4,7.2,2.6,0.9,0.5,1.6
1628398,"Kyle Kuzma",13,4.5,2.7,0.7,0.4,1.7
200768,"Kyle Lowry",1.2,0.6,0.8,0.1,0.1,0.3
1642273,"Kyshawn George",14.8,5.1,4.5,1,0.9,2.6
1643018,"LJ Cryer",8.2,1.6,1,0.2,0,0.8
1630163,"LaMelo Ball",20.1,4.8,7.1,1.2,0.3,2.8
1642950,"Lachlan Olbrich",2.4,3,1.1,0.3,0.2,0.4
1629013,"Landry Shamet",9.3,1.8,1.4,0.6,0.2,0.6
1626204,"Larry Nance Jr.",3.7,2.7,1,0.6,0.2,0.6
1628374,"Lauri Markkanen",26.7,6.9,2.1,1,0.5,1.5
1643133,"Lawson Lovering",7,7.5,1.5,1.5,0.5,1
2544,"LeBron James",20.9,6.1,7.2,1.2,0.6,3
1641778,"Leaky Black",7.1,5,1.5,1.2,0.5,0.9
1631159,"Leonard Miller",7.8,3.9,0.9,0.4,0.3,0.8
1642862,"Liam McNeeley",4.3,2.4,0.8,0.2,0.1,0.4
1630322,"Lindy Waters III",2.4,0.7,0.5,0.2,0,0.2
1628366,"Lonzo Ball",4.6,4,3.9,1.3,0.3,1.5
1631351,"Lucas Williamson",10.4,5.4,2.6,1.6,0.1,1.4
1629652,"Luguentz Dort",8.3,3.6,1.2,0.9,0.4,0.8
1629029,"Luka Dončić",33.5,7.7,8.3,1.6,0.5,4
1630568,"Luka Garza",8.1,4.1,1,0.4,0.4,0.7
1628379,"Luke Kennard",8.4,2.3,2.2,0.7,0.1,0.8
1628436,"Luke Kornet",6.5,6.1,1.9,0.5,1,0.4
1631247,"Luke Travers",2.3,2,0.8,0.6,0.3,0.3
1630644,"Mac McClung",6.1,0.9,0.9,1,0.3,0.8
1641869,"Malachi Smith",8.3,3.4,3.3,0.8,0.3,0.9
1631103,"Malaki Branham",4.6,1.6,0.8,0.4,0.1,0.5
1642502,"Malevy Leons",3.3,2.1,0.9,0.6,0.4,0.5
1628370,"Malik Monk",12.5,1.9,3,0.6,0.4,1.5
1630699,"MarJon Beauchamp",6.8,2.3,1.1,0.6,0.3,0.9
1631204,"Marcus Sasser",5.2,1,2,0.5,0.1,0.8
203935,"Marcus Smart",9.3,2.8,3,1.4,0.4,1.5
1641813,"Mark Sears",3.1,0.3,0.3,0,0,0.6
1631109,"Mark Williams",11.7,8,1,0.9,0.9,1.1
1628365,"Markelle Fultz",0.8,0.2,1.6,0.4,0,0.8
1628963,"Marvin Bagley III",10.5,6.1,1.4,0.5,0.7,1
203486,"Mason Plumlee",1.6,2.7,1,0.5,0,0.6
1641824,"Matas Buzelis",16.3,5.8,2.1,0.7,1.5,2.1
1629680,"Matisse Thybulle",5.8,2,0.9,2,0.5,0.9
1631108,"Max Christie",12.3,3.2,2,0.6,0.4,1.2
1642917,"Max Shulga",0.6,0.5,0.2,0.1,0,0.3
1629622,"Max Strus",11.2,5.4,2,0.3,0,0.8
1628467,"Maxi Kleber",2,2,0.6,0.4,0.3,0.4
1642875,"Maxime Raynaud",12.5,7.5,1.4,0.5,0.5,1.3
1642877,"Micah Peavy",4.3,1.9,1,0.7,0.1,0.3
1630695,"Micah Potter",9.7,5,1.5,0.5,0.3,1
1629008,"Michael Porter Jr.",24.2,7.1,3,1.1,0.3,2.3
1628969,"Mikal Bridges",14.4,3.8,3.7,1.3,0.8,1
201144,"Mike Conley",4.5,1.7,2.9,0.6,0.3,0.6
1628970,"Miles Bridges",17.1,5.8,3.2,0.6,0.4,1.4
1642939,"Miles Kelly",3.1,1.7,0.9,0.3,0.1,0.4
1630540,"Miles McBride",12,2.4,2.6,0.9,0.2,0.8
1629011,"Mitchell Robinson",5.7,8.8,0.9,0.9,1.2,0.7
1628964,"Mo Bamba",2.5,5.5,0.3,0,0.8,0.5
1642885,"Mohamed Diawara",3.6,1.4,0.8,0.2,0.1,0.4
1628420,"Monte Morris",3,1.2,1.5,0.2,0.2,0.3
1629021,"Moritz Wagner",6.9,3.2,0.8,0.4,0.1,0.5
